j,i,x
Afghanistan,Bahrain,1
Afghanistan,Bangladesh,1
Afghanistan,Mainland China,1
Afghanistan,Egypt,1
Afghanistan,India,2
Afghanistan,Iran,3
Afghanistan,Iraq,2
Afghanistan,Israel,1
Afghanistan,Kazakhstan,2
Afghanistan,Kuwait,2
Afghanistan,Lebanon,1
Afghanistan,Mongolia,1
Afghanistan,Nepal,2
Afghanistan,Oman,1
Afghanistan,Pakistan,3
Afghanistan,Russia,1
Afghanistan,Saudi Arabia,1
Afghanistan,United Arab Emirates,1
Albania,Algeria,1
Albania,Austria,2
Albania,Belgium,1
Albania,Bulgaria,2
Albania,Croatia,2
Albania,Czech Republic,2
Albania,Denmark,1
Albania,Egypt,1
Albania,Estonia,1
Albania,Finland,1
Albania,France,1
Albania,Germany,1
Albania,Greece,3
Albania,Hungary,2
Albania,Israel,1
Albania,Italy,2
Albania,Lebanon,1
Albania,Libya,1
Albania,Morocco,1
Albania,Netherlands,1
Albania,Norway,1
Albania,Poland,1
Albania,Portugal,1
Albania,Romania,2
Albania,Russia,1
Albania,Serbia,2
Albania,Spain,1
Albania,Sweden,1
Albania,Switzerland,1
Albania,Turkey,2
Albania,UK,1
Albania,Ukraine,2
Algeria,Austria,1
Algeria,Belgium,1
Algeria,Bosnia and Herzegovina,1
Algeria,Bulgaria,1
Algeria,Camerun,2
Algeria,Central African Republic,2
Algeria,Chad,2
Algeria,Croatia,1
Algeria,Czech Republic,1
Algeria,Denmark,1
Algeria,Egypt,2
Algeria,Ethiopia,1
Algeria,France,1
Algeria,Germany,1
Algeria,Greece,1
Algeria,Hungary,1
Algeria,Israel,1
Algeria,Italy,1
Algeria,Lebanon,1
Algeria,Libya,3
Algeria,Morocco,3
Algeria,Netherlands,1
Algeria,Portugal,1
Algeria,Romania,1
Algeria,Saudi Arabia,1
Algeria,South Africa,1
Algeria,Spain,1
Algeria,Sudan,2
Algeria,Switzerland,1
Algeria,Turkey,1
Algeria,UK,1
Argentina,Bolivia,3
Argentina,Brazil,3
Argentina,Chile,3
Argentina,Colombia,2
Argentina,Mexico,1
Argentina,Peru,2
Argentina,US,1
Argentina,Venezuela,2
Australia,Indonesia,1
Australia,Malaysia,1
Australia,New Zealand,1
Australia,Philippines,1
Australia,Singapore,1
Australia,Thailand,1
Australia,Vietnam,1
Austria,Belgium,2
Austria,Bosnia and Herzegovina,2
Austria,Bulgaria,2
Austria,Croatia,2
Austria,Czech Republic,3
Austria,Denmark,2
Austria,Egypt,1
Austria,Estonia,1
Austria,Finland,1
Austria,France,2
Austria,Germany,3
Austria,Greece,1
Austria,Hungary,3
Austria,Ireland,1
Austria,Israel,1
Austria,Italy,3
Austria,Libya,1
Austria,Morocco,1
Austria,Netherlands,2
Austria,Norway,1
Austria,Poland,2
Austria,Portugal,1
Austria,Romania,2
Austria,Russia,1
Austria,Serbia,2
Austria,Spain,1
Austria,Sweden,1
Austria,Switzerland,1
Austria,Turkey,1
Austria,UK,1
Austria,Ukraine,2
Bahrain,Egypt,1
Bahrain,Iran,2
Bahrain,Iraq,2
Bahrain,Israel,1
Bahrain,Kuwait,2
Bahrain,Lebanon,1
Bahrain,Oman,2
Bahrain,Pakistan,1
Bahrain,Saudi Arabia,3
Bahrain,United Arab Emirates,2
Bangladesh,Cambodia,2
Bangladesh,Mainland China,2
Bangladesh,Hong Kong,1
Bangladesh,India,3
Bangladesh,Indonesia,1
Bangladesh,Macau,1
Bangladesh,Malaysia,1
Bangladesh,Nepal,2
Bangladesh,Pakistan,1
Bangladesh,Singapore,1
Bangladesh,Sri Lanka,1
Bangladesh,Thailand,2
Bangladesh,Vietnam,1
Belgium,Bosnia and Herzegovina,1
Belgium,Bulgaria,1
Belgium,Croatia,1
Belgium,Denmark,2
Belgium,Estonia,1
Belgium,Finland,1
Belgium,France,3
Belgium,Germany,3
Belgium,Greece,1
Belgium,Hungary,2
Belgium,Ireland,1
Belgium,Italy,2
Belgium,Morocco,1
Belgium,Netherlands,3
Belgium,Norway,1
Belgium,Poland,2
Belgium,Portugal,1
Belgium,Romania,1
Belgium,Russia,1
Belgium,Serbia,1
Belgium,Spain,2
Belgium,Sweden,1
Belgium,Switzerland,2
Belgium,Turkey,1
Belgium,UK,2
Belgium,Ukraine,1
Bolivia,Brazil,3
Bolivia,Chad,1
Bolivia,Chile,3
Bolivia,Colombia,2
Bolivia,Mexico,1
Bolivia,Peru,3
Bolivia,US,1
Bolivia,Venezuela,2
Bosnia and Herzegovina,Bulgaria,2
Bosnia and Herzegovina,Croatia,3
Bosnia and Herzegovina,Czech Republic,2
Bosnia and Herzegovina,Denmark,1
Bosnia and Herzegovina,Egypt,1
Bosnia and Herzegovina,Estonia,1
Bosnia and Herzegovina,Finland,1
Bosnia and Herzegovina,France,2
Bosnia and Herzegovina,Germany,2
Bosnia and Herzegovina,Greece,2
Bosnia and Herzegovina,Hungary,2
Bosnia and Herzegovina,Ireland,1
Bosnia and Herzegovina,Israel,1
Bosnia and Herzegovina,Italy,2
Bosnia and Herzegovina,Lebanon,1
Bosnia and Herzegovina,Morocco,1
Bosnia and Herzegovina,Netherlands,1
Bosnia and Herzegovina,Norway,1
Bosnia and Herzegovina,Poland,2
Bosnia and Herzegovina,Portugal,1
Bosnia and Herzegovina,Romania,2
Bosnia and Herzegovina,Russia,1
Bosnia and Herzegovina,Serbia,3
Bosnia and Herzegovina,Spain,1
Bosnia and Herzegovina,Sweden,1
Bosnia and Herzegovina,Switzerland,1
Bosnia and Herzegovina,Turkey,1
Bosnia and Herzegovina,UK,1
Bosnia and Herzegovina,Ukraine,2
Brazil,Chile,2
Brazil,Colombia,3
Brazil,Mexico,1
Brazil,Peru,3
Brazil,US,1
Brazil,Venezuela,3
Bulgaria,Croatia,2
Bulgaria,Czech Republic,1
Bulgaria,Denmark,1
Bulgaria,Egypt,1
Bulgaria,Finland,1
Bulgaria,France,1
Bulgaria,Germany,1
Bulgaria,Greece,3
Bulgaria,Hungary,2
Bulgaria,Iran,1
Bulgaria,Iraq,1
Bulgaria,Israel,1
Bulgaria,Italy,1
Bulgaria,Lebanon,1
Bulgaria,Morocco,1
Bulgaria,Norway,1
Bulgaria,Poland,2
Bulgaria,Portugal,1
Bulgaria,Romania,3
Bulgaria,Russia,1
Bulgaria,Serbia,3
Bulgaria,Spain,1
Bulgaria,Sweden,1
Bulgaria,Switzerland,1
Bulgaria,Turkey,3
Bulgaria,UK,1
Bulgaria,Ukraine,2
Cambodia,Mainland China,2
Cambodia,Hong Kong,1
Cambodia,India,1
Cambodia,Indonesia,1
Cambodia,Malaysia,2
Cambodia,Philippines,1
Cambodia,Singapore,2
Cambodia,Sri Lanka,1
Cambodia,Taiwan,1
Cambodia,Thailand,3
Cambodia,Vietnam,3
Camerun,Central African Republic,3
Camerun,Chad,3
Camerun,Egypt,2
Camerun,Ethiopia,1
Camerun,Kenya,1
Camerun,Libya,2
Camerun,Morocco,1
Camerun,Sudan,2
Canada,Greenland,1
Canada,Mexico,1
Canada,US,3
Central African Republic,Chad,3
Central African Republic,Kenya,2
Central African Republic,Libya,2
Central African Republic,Morocco,1
Central African Republic,Sudan,3
Chad,Egypt,2
Chad,Ethiopia,2
Chad,Kenya,1
Chad,Libya,3
Chad,Morocco,2
Chad,Saudi Arabia,1
Chad,South Africa,1
Chad,Sudan,3
Chile,Colombia,2
Chile,Peru,3
Chile,Venezuela,1
Mainland China,Hong Kong,3
Mainland China,India,3
Mainland China,Indonesia,1
Mainland China,Iran,1
Mainland China,Japan,1
Mainland China,Kazakhstan,3
Mainland China,Macau,3
Mainland China,Malaysia,1
Mainland China,Mongolia,3
Mainland China,Nepal,3
Mainland China,Pakistan,3
Mainland China,Philippines,1
Mainland China,Russia,3
Mainland China,Singapore,1
Mainland China,South Korea,2
Mainland China,Taiwan,2
Mainland China,Thailand,2
Mainland China,Vietnam,3
Colombia,Mexico,2
Colombia,Peru,3
Colombia,Venezuela,3
Croatia,Czech Republic,2
Croatia,Denmark,1
Croatia,Egypt,1
Croatia,Estonia,1
Croatia,Finland,1
Croatia,France,1
Croatia,Germany,2
Croatia,Greece,2
Croatia,Hungary,3
Croatia,Ireland,1
Croatia,Italy,2
Croatia,Netherlands,1
Croatia,Norway,1
Croatia,Poland,2
Croatia,Portugal,1
Croatia,Romania,2
Croatia,Russia,1
Croatia,Serbia,3
Croatia,Spain,1
Croatia,Sweden,1
Croatia,Turkey,1
Croatia,Ukraine,2
Czech Republic,Denmark,2
Czech Republic,Estonia,1
Czech Republic,Finland,1
Czech Republic,France,2
Czech Republic,Germany,3
Czech Republic,Greece,1
Czech Republic,Hungary,2
Czech Republic,Ireland,1
Czech Republic,Israel,1
Czech Republic,Italy,2
Czech Republic,Netherlands,2
Czech Republic,Norway,1
Czech Republic,Poland,3
Czech Republic,Portugal,1
Czech Republic,Romania,2
Czech Republic,Russia,1
Czech Republic,Serbia,2
Czech Republic,Spain,1
Czech Republic,Sweden,1
Czech Republic,Switzerland,2
Czech Republic,UK,1
Czech Republic,Ukraine,2
Denmark,Estonia,1
Denmark,Finland,1
Denmark,France,2
Denmark,Germany,3
Denmark,Greece,1
Denmark,Greenland,1
Denmark,Hungary,1
Denmark,Ireland,1
Denmark,Italy,1
Denmark,Netherlands,2
Denmark,Norway,2
Denmark,Poland,2
Denmark,Portugal,1
Denmark,Romania,1
Denmark,Spain,1
Denmark,Sweden,2
Denmark,Switzerland,1
Denmark,UK,1
Denmark,Ukraine,1
Egypt,Ethiopia,2
Egypt,Greece,1
Egypt,Hungary,1
Egypt,Iran,1
Egypt,Iraq,1
Egypt,Israel,3
Egypt,Italy,1
Egypt,Kenya,1
Egypt,Libya,3
Egypt,Morocco,1
Egypt,Romania,1
Egypt,Serbia,1
Egypt,Saudi Arabia,3
Egypt,Spain,1
Egypt,Sudan,3
Egypt,Turkey,2
Estonia,Finland,2
Estonia,France,1
Estonia,Germany,1
Estonia,Netherlands,1
Estonia,Norway,1
Estonia,Poland,2
Estonia,Russia,3
Estonia,Sweden,2
Estonia,Ukraine,1
Ethiopia,Kenya,3
Ethiopia,Libya,2
Ethiopia,Oman,1
Ethiopia,Sudan,3
Finland,France,1
Finland,Germany,1
Finland,Hungary,1
Finland,Ireland,1
Finland,Italy,1
Finland,Netherlands,1
Finland,Norway,3
Finland,Poland,1
Finland,Russia,3
Finland,Sweden,3
Finland,UK,1
Finland,Ukraine,1
France,Germany,3
France,Greece,1
France,Hungary,2
France,Iceland,1
France,Ireland,1
France,Italy,3
France,Morocco,1
France,Netherlands,2
France,Norway,1
France,Poland,2
France,Portugal,2
France,Romania,1
France,Russia,1
France,Serbia,1
France,Spain,3
France,Sweden,1
France,Switzerland,3
France,UK,2
France,Ukraine,1
Germany,Greece,1
Germany,Hungary,2
Germany,Iceland,1
Germany,Ireland,1
Germany,Italy,2
Germany,Morocco,1
Germany,Netherlands,3
Germany,Norway,1
Germany,Poland,3
Germany,Portugal,1
Germany,Romania,1
Germany,Russia,1
Germany,Serbia,1
Germany,Spain,1
Germany,Sweden,2
Germany,Switzerland,3
Germany,UK,1
Germany,Ukraine,1
Greece,Hungary,2
Greece,Israel,1
Greece,Italy,1
Greece,Lebanon,1
Greece,Libya,1
Greece,Poland,1
Greece,Romania,2
Greece,Russia,1
Greece,Serbia,2
Greece,Turkey,3
Greece,Ukraine,1
Greenland,Iceland,2
Greenland,Ireland,1
Greenland,Norway,1
Greenland,US,1
Greenland,UK,1
Hong Kong,Japan,1
Hong Kong,Macau,3
Hong Kong,Philippines,1
Hong Kong,Singapore,1
Hong Kong,South Korea,1
Hong Kong,Taiwan,1
Hong Kong,Thailand,1
Hong Kong,Vietnam,1
Hungary,Ireland,1
Hungary,Italy,2
Hungary,Netherlands,1
Hungary,Norway,1
Hungary,Poland,2
Hungary,Portugal,1
Hungary,Romania,3
Hungary,Russia,1
Hungary,Serbia,3
Hungary,Spain,1
Hungary,Sweden,1
Hungary,Switzerland,2
Hungary,Turkey,1
Hungary,UK,1
Hungary,Ukraine,3
Iceland,Ireland,1
Iceland,Norway,1
Iceland,Sweden,1
Iceland,UK,1
India,Indonesia,1
India,Iran,2
India,Iraq,1
India,Kazakhstan,1
India,Malaysia,1
India,Mongolia,1
India,Nepal,3
India,Pakistan,3
India,Sri Lanka,2
India,Thailand,1
India,Vietnam,1
Indonesia,Malaysia,3
Indonesia,Philippines,2
Indonesia,Singapore,3
Indonesia,Sri Lanka,1
Indonesia,Thailand,2
Indonesia,Vietnam,2
Iran,Iraq,3
Iran,Israel,1
Iran,Kazakhstan,2
Iran,Lebanon,1
Iran,Oman,1
Iran,Pakistan,3
Iran,Russia,1
Iran,Saudi Arabia,2
Iran,Turkey,3
Iran,United Arab Emirates,2
Iraq,Israel,2
Iraq,Kazakhstan,1
Iraq,Kuwait,3
Iraq,Lebanon,2
Iraq,Oman,1
Iraq,Pakistan,2
Iraq,Russia,1
Iraq,Saudi Arabia,3
Iraq,Sudan,1
Iraq,Turkey,3
Ireland,Italy,1
Ireland,Netherlands,1
Ireland,Norway,1
Ireland,Poland,1
Ireland,Portugal,1
Ireland,Spain,1
Ireland,Switzerland,1
Ireland,UK,3
Israel,Italy,1
Israel,Kuwait,2
Israel,Lebanon,3
Israel,Libya,2
Israel,Oman,1
Israel,Pakistan,1
Israel,Saudi Arabia,2
Israel,Sudan,2
Israel,Turkey,2
Israel,United Arab Emirates,1
Italy,Libya,1
Italy,Morocco,1
Italy,Netherlands,1
Italy,Norway,1
Italy,Portugal,1
Italy,Romania,1
Italy,Russia,1
Italy,Serbia,1
Italy,Spain,2
Italy,Sweden,1
Italy,Switzerland,3
Italy,Turkey,1
Italy,UK,1
Italy,Ukraine,1
Japan,Philippines,1
Japan,Russia,2
Japan,South Korea,2
Japan,Taiwan,1
Kazakhstan,Mongolia,2
Kazakhstan,Nepal,1
Kazakhstan,Pakistan,2
Kazakhstan,Russia,3
Kazakhstan,Saudi Arabia,1
Kazakhstan,Ukraine,2
Kenya,Libya,1
Kenya,Saudi Arabia,1
Kenya,South Africa,1
Kenya,Sudan,2
Kuwait,Lebanon,2
Kuwait,Oman,2
Kuwait,Pakistan,1
Kuwait,Saudi Arabia,3
Kuwait,Turkey,2
Kuwait,United Arab Emirates,2
Lebanon,Libya,2
Lebanon,Oman,1
Lebanon,Saudi Arabia,2
Lebanon,Turkey,2
Lebanon,United Arab Emirates,1
Libya,Morocco,2
Libya,Saudi Arabia,1
Libya,Sudan,3
Macau,Malaysia,1
Macau,Mongolia,1
Macau,Philippines,1
Macau,Singapore,1
Macau,South Korea,1
Macau,Taiwan,2
Macau,Thailand,1
Macau,Vietnam,2
Malaysia,Philippines,2
Malaysia,Singapore,3
Malaysia,Taiwan,1
Malaysia,Thailand,3
Malaysia,Vietnam,2
Mexico,US,3
Mexico,Venezuela,1
Morocco,Spain,3
Morocco,Sudan,1
Mongolia,Nepal,1
Mongolia,Pakistan,1
Mongolia,Russia,3
Mongolia,South Korea,1
Nepal,Pakistan,2
Nepal,Sri Lanka,1
Nepal,Thailand,1
Nepal,Vietnam,1
Netherlands,Norway,1
Netherlands,Poland,2
Netherlands,Portugal,1
Netherlands,Romania,1
Netherlands,Russia,1
Netherlands,Spain,1
Netherlands,Sweden,1
Netherlands,Switzerland,2
Netherlands,UK,1
Netherlands,Ukraine,1
Norway,Poland,1
Norway,Portugal,1
Norway,Russia,3
Norway,Spain,1
Norway,Sweden,3
Norway,UK,1
Norway,Ukraine,1
Oman,Pakistan,1
Oman,Saudi Arabia,3
Pakistan,Saudi Arabia,1
Pakistan,Sri Lanka,1
Peru,Venezuela,2
Philippines,Singapore,1
Philippines,Taiwan,2
Philippines,Thailand,1
Philippines,Vietnam,1
Poland,Portugal,1
Poland,Romania,2
Poland,Russia,2
Poland,Serbia,2
Poland,Spain,1
Poland,Sweden,1
Poland,Switzerland,1
Poland,Ukraine,1
Portugal,Spain,3
Portugal,Sweden,1
Portugal,Switzerland,1
Portugal,Turkey,1
Portugal,UK,1
Romania,Russia,2
Romania,Serbia,3
Romania,Spain,1
Romania,Sweden,1
Romania,Switzerland,1
Romania,Turkey,2
Romania,Ukraine,3
Russia,Serbia,1
Russia,Saudi Arabia,1
Russia,Sweden,2
Russia,Turkey,2
Russia,US,1
Russia,UK,1
Russia,Ukraine,3
Serbia,Switzerland,1
Serbia,Turkey,2
Serbia,Ukraine,2
Saudi Arabia,Sudan,2
Saudi Arabia,Turkey,2
Singapore,Sri Lanka,1
Singapore,Taiwan,1
Singapore,Thailand,2
Singapore,Vietnam,2
South Korea,Taiwan,1
South Korea,Thailand,1
South Korea,Vietnam,1
Spain,Sweden,1
Spain,Switzerland,2
Spain,UK,1
Sri Lanka,Thailand,1
Sri Lanka,Vietnam,1
Sudan,Turkey,1
Sweden,Switzerland,1
Sweden,UK,1
Sweden,Ukraine,1
Switzerland,UK,1
Switzerland,Ukraine,1
Taiwan,Thailand,1
Taiwan,Vietnam,1
Thailand,Vietnam,2
Turkey,United Arab Emirates,1
Turkey,Ukraine,2
US,Venezuela,1
UK,Ukraine,1
