Date,Positivi,Guariti,Deceduti,Tamponi,Casi Totale,Casi Totale Province,Region
2020-02-24,NA,NA,NA,NA,172,NA,Lombardia
2020-02-24,NA,NA,NA,NA,18,NA,Emilia-Romagna
2020-02-24,NA,NA,NA,NA,33,NA,Veneto
2020-02-24,NA,NA,NA,NA,3,NA,Piemonte
2020-02-24,NA,NA,NA,NA,0,NA,Marche
2020-02-24,NA,NA,NA,NA,0,NA,Liguria
2020-02-24,NA,NA,NA,NA,0,NA,Campania
2020-02-24,NA,NA,NA,NA,0,NA,Toscana
2020-02-24,NA,NA,NA,NA,0,NA,Friuli-Venezia Giulia
2020-02-24,NA,NA,NA,NA,0,NA,Sicilia
2020-02-24,NA,NA,NA,NA,3,NA,Lazio
2020-02-24,NA,NA,NA,NA,0,NA,Abruzzo
2020-02-24,NA,NA,NA,NA,0,NA,Puglia
2020-02-24,NA,NA,NA,NA,0,NA,Umbria
2020-02-24,NA,NA,NA,NA,0,NA,Trentino-Alto Adige
2020-02-24,NA,NA,NA,NA,0,NA,Calabria
2020-02-24,NA,NA,NA,NA,0,NA,Sardegna
2020-02-24,NA,NA,NA,NA,0,NA,Valle d'Aosta
2020-02-24,NA,NA,NA,NA,0,NA,Molise
2020-02-24,NA,NA,NA,NA,0,NA,Basilicata
2020-02-25,NA,NA,6,NA,212,NA,Lombardia
2020-02-25,NA,NA,0,NA,23,NA,Emilia-Romagna
2020-02-25,NA,NA,1,NA,38,NA,Veneto
2020-02-25,NA,NA,0,NA,3,NA,Piemonte
2020-02-25,NA,NA,0,NA,0,NA,Marche
2020-02-25,NA,NA,0,NA,0,NA,Liguria
2020-02-25,NA,NA,0,NA,0,NA,Campania
2020-02-25,NA,NA,0,NA,2,NA,Toscana
2020-02-25,NA,NA,0,NA,0,NA,Friuli-Venezia Giulia
2020-02-25,NA,NA,0,NA,1,NA,Sicilia
2020-02-25,NA,NA,0,NA,3,NA,Lazio
2020-02-25,NA,NA,0,NA,0,NA,Abruzzo
2020-02-25,NA,NA,0,NA,0,NA,Puglia
2020-02-25,NA,NA,0,NA,0,NA,Umbria
2020-02-25,NA,NA,0,NA,1,NA,Trentino-Alto Adige
2020-02-25,NA,NA,0,NA,0,NA,Calabria
2020-02-25,NA,NA,0,NA,0,NA,Sardegna
2020-02-25,NA,NA,0,NA,0,NA,Valle d'Aosta
2020-02-25,NA,NA,0,NA,0,NA,Molise
2020-02-25,NA,NA,0,NA,0,NA,Basilicata
2020-02-26,NA,NA,NA,NA,258,NA,Lombardia
2020-02-26,NA,NA,NA,NA,30,NA,Emilia-Romagna
2020-02-26,NA,NA,NA,NA,71,NA,Veneto
2020-02-26,NA,NA,NA,NA,3,NA,Piemonte
2020-02-26,NA,NA,NA,NA,1,NA,Marche
2020-02-26,NA,NA,NA,NA,2,NA,Liguria
2020-02-26,NA,NA,NA,NA,0,NA,Campania
2020-02-26,NA,NA,NA,NA,2,NA,Toscana
2020-02-26,NA,NA,NA,NA,0,NA,Friuli-Venezia Giulia
2020-02-26,NA,NA,NA,NA,3,NA,Sicilia
2020-02-26,NA,NA,NA,NA,3,NA,Lazio
2020-02-26,NA,NA,NA,NA,0,NA,Abruzzo
2020-02-26,NA,NA,NA,NA,0,NA,Puglia
2020-02-26,NA,NA,NA,NA,0,NA,Umbria
2020-02-26,NA,NA,NA,NA,1,NA,Trentino-Alto Adige
2020-02-26,NA,NA,NA,NA,0,NA,Calabria
2020-02-26,NA,NA,NA,NA,0,NA,Sardegna
2020-02-26,NA,NA,NA,NA,0,NA,Valle d'Aosta
2020-02-26,NA,NA,NA,NA,0,NA,Molise
2020-02-26,NA,NA,NA,NA,0,NA,Basilicata
2020-02-27,NA,NA,NA,NA,305,NA,Lombardia
2020-02-27,NA,NA,NA,NA,97,NA,Emilia-Romagna
2020-02-27,NA,NA,NA,NA,98,NA,Veneto
2020-02-27,NA,NA,NA,NA,3,NA,Piemonte
2020-02-27,NA,NA,NA,NA,3,NA,Marche
2020-02-27,NA,NA,NA,NA,11,NA,Liguria
2020-02-27,NA,NA,NA,NA,2,NA,Campania
2020-02-27,NA,NA,NA,NA,0,NA,Toscana
2020-02-27,NA,NA,NA,NA,0,NA,Friuli-Venezia Giulia
2020-02-27,NA,NA,NA,NA,3,NA,Sicilia
2020-02-27,NA,NA,NA,NA,3,NA,Lazio
2020-02-27,NA,NA,NA,NA,1,NA,Abruzzo
2020-02-27,NA,NA,NA,NA,0,NA,Puglia
2020-02-27,NA,NA,NA,NA,0,NA,Umbria
2020-02-27,NA,NA,NA,NA,1,NA,Trentino-Alto Adige
2020-02-27,NA,NA,NA,NA,0,NA,Calabria
2020-02-27,NA,NA,NA,NA,0,NA,Sardegna
2020-02-27,NA,NA,NA,NA,0,NA,Valle d'Aosta
2020-02-27,NA,NA,NA,NA,0,NA,Molise
2020-02-27,NA,NA,NA,NA,0,NA,Basilicata
2020-02-28,NA,NA,NA,NA,531,NA,Lombardia
2020-02-28,NA,NA,NA,NA,145,NA,Emilia-Romagna
2020-02-28,NA,NA,NA,NA,151,NA,Veneto
2020-02-28,NA,NA,NA,NA,11,NA,Piemonte
2020-02-28,NA,NA,NA,NA,6,NA,Marche
2020-02-28,NA,NA,NA,NA,19,NA,Liguria
2020-02-28,NA,NA,NA,NA,4,NA,Campania
2020-02-28,NA,NA,NA,NA,8,NA,Toscana
2020-02-28,NA,NA,NA,NA,0,NA,Friuli-Venezia Giulia
2020-02-28,NA,NA,NA,NA,4,NA,Sicilia
2020-02-28,NA,NA,NA,NA,3,NA,Lazio
2020-02-28,NA,NA,NA,NA,1,NA,Abruzzo
2020-02-28,NA,NA,NA,NA,3,NA,Puglia
2020-02-28,NA,NA,NA,NA,0,NA,Umbria
2020-02-28,NA,NA,NA,NA,1,NA,Trentino-Alto Adige
2020-02-28,NA,NA,NA,NA,1,NA,Calabria
2020-02-28,NA,NA,NA,NA,0,NA,Sardegna
2020-02-28,NA,NA,NA,NA,0,NA,Valle d'Aosta
2020-02-28,NA,NA,NA,NA,0,NA,Molise
2020-02-28,NA,NA,NA,NA,0,NA,Basilicata
2020-03-01,NA,NA,NA,NA,984,NA,Lombardia
2020-03-01,NA,NA,NA,NA,285,NA,Emilia-Romagna
2020-03-01,NA,NA,NA,NA,263,NA,Veneto
2020-03-01,NA,NA,NA,NA,49,NA,Piemonte
2020-03-01,NA,NA,NA,NA,25,NA,Marche
2020-03-01,NA,NA,NA,NA,25,NA,Liguria
2020-03-01,NA,NA,NA,NA,17,NA,Campania
2020-03-01,NA,NA,NA,NA,13,NA,Toscana
2020-03-01,NA,NA,NA,NA,6,NA,Friuli-Venezia Giulia
2020-03-01,NA,NA,NA,NA,9,NA,Sicilia
2020-03-01,NA,NA,NA,NA,6,NA,Lazio
2020-03-01,NA,NA,NA,NA,5,NA,Abruzzo
2020-03-01,NA,NA,NA,NA,3,NA,Puglia
2020-03-01,NA,NA,NA,NA,2,NA,Umbria
2020-03-01,NA,NA,NA,NA,1,NA,Trentino-Alto Adige
2020-03-01,NA,NA,NA,NA,1,NA,Calabria
2020-03-01,NA,NA,NA,NA,0,NA,Sardegna
2020-03-01,NA,NA,NA,NA,0,NA,Valle d'Aosta
2020-03-01,NA,NA,NA,NA,0,NA,Molise
2020-03-01,NA,NA,NA,NA,0,NA,Basilicata
2020-03-02,1077,139,38,7925,1254,1254,Lombardia
2020-03-02,324,0,11,1973,335,335,Emilia-Romagna
2020-03-02,271,0,2,9782,273,273,Veneto
2020-03-02,51,0,0,434,51,51,Piemonte
2020-03-02,34,0,1,137,35,35,Marche
2020-03-02,18,4,0,121,22,22,Liguria
2020-03-02,17,0,0,373,17,17,Campania
2020-03-02,12,1,0,613,13,13,Toscana
2020-03-02,9,0,0,269,9,9,Friuli-Venezia Giulia
2020-03-02,5,2,0,307,7,7,Sicilia
2020-03-02,4,3,0,773,7,7,Lazio
2020-03-02,5,0,0,52,5,5,Abruzzo
2020-03-02,4,0,0,278,4,4,Puglia
2020-03-02,2,0,0,35,2,2,Umbria
2020-03-02,1,0,0,142,1,1,Trentino-Alto Adige
2020-03-02,1,0,0,39,1,1,Calabria
2020-03-02,0,0,0,29,0,0,Sardegna
2020-03-02,0,0,0,11,0,0,Valle d'Aosta
2020-03-02,0,0,0,13,0,0,Molise
2020-03-02,0,0,0,39,0,0,Basilicata
2020-03-03,1326,139,55,9577,1520,1520,Lombardia
2020-03-03,398,4,18,2012,420,420,Emilia-Romagna
2020-03-03,297,7,3,10176,307,307,Veneto
2020-03-03,56,0,0,458,56,56,Piemonte
2020-03-03,59,0,2,200,61,61,Marche
2020-03-03,30,0,0,405,30,30,Campania
2020-03-03,19,4,1,121,24,24,Liguria
2020-03-03,18,1,0,697,19,19,Toscana
2020-03-03,11,3,0,877,14,14,Lazio
2020-03-03,13,0,0,354,13,13,Friuli-Venezia Giulia
2020-03-03,5,2,0,307,7,7,Sicilia
2020-03-03,6,0,0,298,6,6,Puglia
2020-03-03,6,0,0,52,6,6,Abruzzo
2020-03-03,5,0,0,142,5,5,Trentino-Alto Adige
2020-03-03,3,0,0,13,3,3,Molise
2020-03-03,8,0,0,45,8,8,Umbria
2020-03-03,1,0,0,39,1,1,Calabria
2020-03-03,1,0,0,29,1,1,Sardegna
2020-03-03,1,0,0,42,1,1,Basilicata
2020-03-03,0,0,0,12,0,0,Valle d'Aosta
2020-03-04,1497,250,73,12138,1820,1820,Lombardia
2020-03-04,516,6,22,2500,544,544,Emilia-Romagna
2020-03-04,345,9,6,10515,360,360,Veneto
2020-03-04,82,0,0,543,82,82,Piemonte
2020-03-04,80,0,4,288,84,84,Marche
2020-03-04,31,0,0,429,31,31,Campania
2020-03-04,21,4,1,133,26,26,Liguria
2020-03-04,37,1,0,776,38,38,Toscana
2020-03-04,27,3,0,995,30,30,Lazio
2020-03-04,18,0,0,376,18,18,Friuli-Venezia Giulia
2020-03-04,16,2,0,367,18,18,Sicilia
2020-03-04,7,1,1,322,9,9,Puglia
2020-03-04,7,0,0,85,7,7,Abruzzo
2020-03-04,6,0,0,142,6,6,Trentino-Alto Adige
2020-03-04,3,0,0,19,3,3,Molise
2020-03-04,9,0,0,58,9,9,Umbria
2020-03-04,1,0,0,46,1,1,Calabria
2020-03-04,2,0,0,42,2,2,Sardegna
2020-03-04,1,0,0,48,1,1,Basilicata
2020-03-04,0,0,0,15,0,0,Valle d'Aosta
2020-03-05,1777,376,98,12354,2251,2251,Lombardia
2020-03-05,658,10,30,2884,698,698,Emilia-Romagna
2020-03-05,380,17,10,11949,407,407,Veneto
2020-03-05,120,0,4,413,124,124,Marche
2020-03-05,106,0,2,543,108,108,Piemonte
2020-03-05,60,1,0,776,61,61,Toscana
2020-03-05,41,3,0,1175,44,44,Lazio
2020-03-05,45,0,0,471,45,45,Campania
2020-03-05,21,4,3,146,28,28,Liguria
2020-03-05,21,0,0,397,21,21,Friuli-Venezia Giulia
2020-03-05,16,2,0,367,18,18,Sicilia
2020-03-05,12,1,1,359,14,14,Puglia
2020-03-05,9,0,0,88,9,9,Umbria
2020-03-05,8,0,0,96,8,8,Abruzzo
2020-03-05,8,0,0,142,8,8,Trentino-Alto Adige
2020-03-05,7,0,0,24,7,7,Molise
2020-03-05,2,0,0,21,2,2,Valle d'Aosta
2020-03-05,2,0,0,53,2,2,Calabria
2020-03-05,2,0,0,50,2,2,Sardegna
2020-03-05,1,0,0,54,1,1,Basilicata
2020-03-06,2008,469,135,13556,2612,2612,Lombardia
2020-03-06,816,17,37,3136,870,870,Emilia-Romagna
2020-03-06,454,22,12,13023,488,488,Veneto
2020-03-06,155,0,4,585,159,159,Marche
2020-03-06,139,0,4,793,143,143,Piemonte
2020-03-06,78,1,0,1097,79,79,Toscana
2020-03-06,50,3,1,1373,54,54,Lazio
2020-03-06,57,0,0,471,57,57,Campania
2020-03-06,24,5,3,229,32,32,Liguria
2020-03-06,28,3,0,577,31,31,Friuli-Venezia Giulia
2020-03-06,22,2,0,367,24,24,Sicilia
2020-03-06,15,1,1,395,17,17,Puglia
2020-03-06,16,0,0,110,16,16,Umbria
2020-03-06,12,0,0,104,12,12,Molise
2020-03-06,14,0,0,158,14,14,Trentino-Alto Adige
2020-03-06,9,0,0,96,9,9,Abruzzo
2020-03-06,5,0,0,99,5,5,Sardegna
2020-03-06,3,0,0,63,3,3,Basilicata
2020-03-06,7,0,0,28,7,7,Valle d'Aosta
2020-03-06,4,0,0,99,4,4,Calabria
